data,valor
02/01/2026,5.4366
05/01/2026,5.4345
06/01/2026,5.3791
07/01/2026,5.3874
08/01/2026,5.3854
09/01/2026,5.3701
12/01/2026,5.3754
13/01/2026,5.3758
14/01/2026,5.3789
15/01/2026,5.3840
16/01/2026,5.3792
19/01/2026,5.3647
20/01/2026,5.3784
21/01/2026,5.3362
22/01/2026,5.3112
23/01/2026,5.2872
26/01/2026,5.2754
27/01/2026,5.2386
28/01/2026,5.1832
29/01/2026,5.1950
30/01/2026,5.2295
02/02/2026,5.2581
03/02/2026,5.2230
04/02/2026,5.2353
05/02/2026,5.2574
06/02/2026,5.2335
09/02/2026,5.1937
10/02/2026,5.2015
11/02/2026,5.1830
12/02/2026,5.1668
13/02/2026,5.2282
18/02/2026,5.2343
19/02/2026,5.2250
20/02/2026,5.2000
23/02/2026,5.1629
24/02/2026,5.1676
25/02/2026,5.1434
26/02/2026,5.1376
27/02/2026,5.1489
02/03/2026,5.1995
03/03/2026,5.2864
04/03/2026,5.2085
05/03/2026,5.2441
06/03/2026,5.2872
09/03/2026,5.2133
10/03/2026,5.1616
11/03/2026,5.1590
12/03/2026,5.2045
13/03/2026,5.2535
16/03/2026,5.2641
17/03/2026,5.2016
18/03/2026,5.2106
19/03/2026,5.2581
20/03/2026,5.2793
23/03/2026,5.2434
24/03/2026,5.2593
25/03/2026,5.2269
26/03/2026,5.2302
27/03/2026,5.2370
30/03/2026,5.2347
31/03/2026,5.2188
01/04/2026,5.1600
02/04/2026,5.1649
06/04/2026,5.1526
07/04/2026,5.1619
08/04/2026,5.0893
09/04/2026,5.0815
10/04/2026,5.0223
